,train,test
3,0.9129032258064517,0.7698612862547287
7,0.935483870967742,0.8215636822194199
13,0.9419354838709677,0.8215636822194199
15,0.967741935483871,0.8215636822194199
17,0.9774193548387096,0.8215636822194199
19,0.9774193548387096,0.8215636822194199
21,0.9806451612903226,0.8215636822194199
23,0.9838709677419355,0.8215636822194199
