Dataset,Discretization,Number of Rules,Mean Lift,Mean Lift Top 15,Support
hin,Equal Width 80,3459,1.8328972578710032,4.147558800848273,0.15
hin,Equal Width 80,2345,1.7771719346619368,3.5019985862091123,0.16999999999999998
hin,Equal Width 80,1275,1.6416870678149822,3.23074573976748,0.18999999999999997
hin,Equal Width 80,890,1.662532014325369,3.205140149705367,0.20999999999999996
hin,Equal Width 80,535,1.5664671490960775,3.0301260412974127,0.22999999999999995
hin,Equal Width 80,365,1.5395201116880026,2.957322314781992,0.24999999999999994
hin,Equal Width 80,180,1.472369325807891,2.6634689763001984,0.2699999999999999
hin,Equal Width 80,79,1.2330125819202518,1.4420248214583364,0.2899999999999999
hin,Equal Width 80,58,1.2335718136091858,1.4180795239875468,0.30999999999999994
hin,Equal Width 80,39,1.2124108261634772,1.3453232415876875,0.3299999999999999
hin,Equal Width 80,38,1.211346964394476,1.342102660240486,0.34999999999999987
hin,Equal Width 80,23,1.1941843073182434,1.237172977507305,0.3699999999999999
hin,Equal Width 80,18,1.2042981514572664,1.2242351326081737,0.3899999999999999
hin,Equal Width 100,2812,1.899361575971364,3.816266025641027,0.15
hin,Equal Width 100,2025,1.8715186776225055,3.594049728049727,0.16999999999999998
hin,Equal Width 100,1087,1.7824146377142653,3.4455444576893854,0.18999999999999997
hin,Equal Width 100,742,1.7856951291748013,3.424488969967231,0.20999999999999996
hin,Equal Width 100,461,1.722683237854425,3.2897094017094024,0.22999999999999995
hin,Equal Width 100,194,1.5086418472737473,2.868279569892472,0.24999999999999994
hin,Equal Width 100,90,1.265650668398733,1.482561719548137,0.2699999999999999
hin,Equal Width 100,50,1.2514542620436793,1.3956833677546747,0.2899999999999999
hin,Equal Width 100,31,1.2290022755482635,1.2960582713323943,0.30999999999999994
hin,Equal Width 100,23,1.2230069785771833,1.2582525750994396,0.3299999999999999
hin,Equal Width 100,20,1.2139977079034432,1.2339909108377753,0.34999999999999987
hin,Equal Width 100,16,1.2177010848776617,1.2230919058038316,0.3699999999999999
hin,Equal Width 100,10,1.2075234106537995,1.2075234106537995,0.3899999999999999
hin,Equal Frequency 80,761,2.37954341615644,3.7307692307692317,0.15
hin,Equal Frequency 80,482,2.3589526968876697,3.7307692307692317,0.16999999999999998
hin,Equal Frequency 80,386,2.3764516519241226,3.7307692307692317,0.18999999999999997
hin,Equal Frequency 80,192,2.3424126603072253,3.7307692307692317,0.20999999999999996
hin,Equal Frequency 80,91,2.3143393893749096,3.7307692307692317,0.22999999999999995
hin,Equal Frequency 80,87,2.356896260038864,3.7307692307692317,0.24999999999999994
hin,Equal Frequency 80,7,1.3498047397686614,1.3498047397686614,0.2699999999999999
hin,Equal Frequency 80,4,1.3369215291750505,1.3369215291750505,0.2899999999999999
hin,Equal Frequency 80,2,1.3076458752515092,1.3076458752515092,0.30999999999999994
hin,Equal Frequency 80,1,1.3661971830985917,1.3661971830985917,0.3299999999999999
hin,Equal Frequency 80,1,1.3661971830985917,1.3661971830985917,0.34999999999999987
hin,Equal Frequency 80,1,1.3661971830985917,1.3661971830985917,0.3699999999999999
hin,Equal Frequency 80,1,1.3661971830985917,1.3661971830985917,0.3899999999999999
hin,Equal Frequency 100,761,2.37954341615644,3.7307692307692317,0.15
hin,Equal Frequency 100,482,2.3589526968876697,3.7307692307692317,0.16999999999999998
hin,Equal Frequency 100,386,2.3764516519241226,3.7307692307692317,0.18999999999999997
hin,Equal Frequency 100,192,2.3424126603072257,3.7307692307692317,0.20999999999999996
hin,Equal Frequency 100,91,2.3143393893749096,3.7307692307692317,0.22999999999999995
hin,Equal Frequency 100,87,2.356896260038864,3.7307692307692317,0.24999999999999994
hin,Equal Frequency 100,7,1.3498047397686614,1.3498047397686614,0.2699999999999999
hin,Equal Frequency 100,4,1.3369215291750505,1.3369215291750505,0.2899999999999999
hin,Equal Frequency 100,2,1.3076458752515092,1.3076458752515092,0.30999999999999994
hin,Equal Frequency 100,1,1.3661971830985917,1.3661971830985917,0.3299999999999999
hin,Equal Frequency 100,1,1.3661971830985917,1.3661971830985917,0.34999999999999987
hin,Equal Frequency 100,1,1.3661971830985917,1.3661971830985917,0.3699999999999999
hin,Equal Frequency 100,1,1.3661971830985917,1.3661971830985917,0.3899999999999999
