Discretization,Number of Rules,Mean Lift,Top 20 Mean Lift,Support
Equal Width 5,85057,4.063678936610839,36.0,0.02
Equal Width 5,64486,2.443739383085954,21.0,0.045
Equal Width 5,54807,1.3471154208606604,7.665752351097178,0.06999999999999999
Equal Width 5,54288,1.2990938822032314,7.636363636363636,0.095
Equal Width 5,54236,1.2937267700662172,7.636363636363636,0.12
Equal Width 5,53841,1.2550695556304996,1.3170114920997666,0.145
Equal Width 5,53841,1.2550695556304996,1.3170114920997666,0.16999999999999998
Equal Width 5,53841,1.2550695556304996,1.3170114920997666,0.19499999999999998
Equal Width 5,53841,1.2550695556304996,1.3170114920997666,0.21999999999999997
Equal Width 5,53841,1.2550695556304996,1.3170114920997666,0.24499999999999997
Equal Width 5,53841,1.2550695556304996,1.3170114920997666,0.26999999999999996
Equal Width 5,53841,1.2550695556304996,1.3170114920997666,0.295
Equal Width 7,84588,3.9784884748029086,39.78947368421053,0.02
Equal Width 7,58310,1.787106738122902,16.43478260869565,0.045
Equal Width 7,54877,1.4395701526687108,7.957894736842104,0.06999999999999999
Equal Width 7,54416,1.396353221861516,7.957894736842104,0.095
Equal Width 7,54129,1.3683919540954836,7.2,0.12
Equal Width 7,53958,1.3523297210578928,1.4290805982640822,0.145
Equal Width 7,53958,1.3523297210578928,1.4290805982640822,0.16999999999999998
Equal Width 7,53958,1.3523297210578928,1.4290805982640822,0.19499999999999998
Equal Width 7,53958,1.3523297210578928,1.4290805982640822,0.21999999999999997
Equal Width 7,53958,1.3523297210578928,1.4290805982640822,0.24499999999999997
Equal Width 7,53958,1.3523297210578928,1.4290805982640822,0.26999999999999996
Equal Width 7,53958,1.3523297210578928,1.4290805982640822,0.295
Equal Frequency 3,99951,5.005028279149057,32.8695652173913,0.02
Equal Frequency 3,51100,3.8966536359506057,13.77327935222672,0.045
Equal Frequency 3,41253,3.723214442032581,9.194594594594598,0.06999999999999999
Equal Frequency 3,35350,3.631838475075565,8.184442662389737,0.095
Equal Frequency 3,14770,3.4780458180655405,6.710679611650488,0.12
Equal Frequency 3,10222,3.43824586202895,5.3953287197231825,0.145
Equal Frequency 3,9346,3.4712074968603583,5.3953287197231825,0.16999999999999998
Equal Frequency 3,8709,3.478645590591228,4.335882352941178,0.19499999999999998
Equal Frequency 3,2572,3.2444869465264556,3.9344898559247254,0.21999999999999997
Equal Frequency 3,1491,3.208308028467116,3.9157894736842125,0.24499999999999997
Equal Frequency 3,261,2.992441761239281,3.0,0.26999999999999996
Equal Frequency 3,158,2.990352558132621,3.0,0.295
