accuracy,roc_auc,transformation
0.7318418171866449,0.6828061224489795,baseline
0.787383689107827,0.7764115646258505,Feature Selection
0.7207307060755338,0.5860884353741496,PCA
0.6462280701754386,0.6168154761904762,Balancing
