,Technique,Measure,Value
0,Original,Accuracy,0.967375
1,Original,Sensibility,0.904
2,Original,Specificity,0.968896
3,Normalized,Accuracy,0.693875
4,Normalized,Sensibility,0.9706666666666667
5,Normalized,Specificity,0.687232
