,Price,Transformation,k
0,23480,PCA,11
1,18540,PCA,21
2,15830,PCA,31
3,15790,PCA,41
4,15710,PCA,51
5,16040,PCA,61
6,15230,PCA,71
7,15350,PCA,81
8,15430,PCA,91
9,15530,PCA,101
10,23330,Normalization,11
11,19290,Normalization,21
12,17530,Normalization,31
13,18400,Normalization,41
14,16600,Normalization,51
15,16600,Normalization,61
16,18070,Normalization,71
17,16870,Normalization,81
18,17150,Normalization,91
19,16850,Normalization,101
