Technique,Test,Accuracy,ROC AUC,Baseline,Column and Lines Drop,PCA,Undersample 50-50
Baseline,Train,0.9682330827067669,0.9241020239302231,Train,,,
Baseline,Test,0.970701754385965,0.917770394170162,Test,,,
Column and Lines Drop,Train,0.9706738201327635,0.9367438897026465,,Train,,
Column and Lines Drop,Test,0.9606140350877193,0.9350788018619016,,Test,,
PCA,Train,0.9707647540238247,0.9367898688281235,,,Train,
PCA,Test,0.9607894736842105,0.9351680636667753,,,Test,
Undersample 50-50,Train,0.9530612244897959,0.9530612244897959,,,,Train
Undersample 50-50,Test,0.9421929824561404,0.9431603934950346,,,,Test
